Youtube频道,#genre#
中视新闻,https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1718539983/ei/b4JuZtStCOuJkucPgOKJ8AU/ip/20.109.36.210/id/rO9tl-LyaZo.1/source/yt_live_broadcast/requiressl/yes/xpc/EgVo2aDSNQ%3D%3D/tx/51177562/txs/51177561%2C51177562%2C51177563%2C51177564%2C51177565%2C51177566%2C51177567/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/spc/UWF9f38t4P_ac7qGA6dKhPJifcDIcfXo9ZHbiJzUxoXFBGYjk7gMcMrCwGQ2-9g/vprv/1/go/1/rqh/5/pacing/0/nvgoi/1/keepalive/yes/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Ctx%2Ctxs%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cspc%2Cvprv%2Cgo%2Crqh%2Citag%2Cplaylist_type/sig/AJfQdSswRQIhAIVrqrBIvaIFQveu5uPCJ2G6TWF-CHUvTguVzAcces5FAiAg7rJM8Ud4NaH3nI4X9nFvh41UljJKaEGgCkEfEDSBIw%3D%3D/file/index.m3u8
台视新闻,https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1718539983/ei/b4JuZtzpJcW1kucPqqy-2AU/ip/20.109.36.210/id/xL0ch83RAK8.4/source/yt_live_broadcast/requiressl/yes/xpc/EgVo2aDSNQ%3D%3D/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/spc/UWF9f3l8ZjJxayhDmLxd_dcns-eOIou2_tXssKbhS3PODBCS9dC5Dy27kW_2zXc/vprv/1/go/1/rqh/5/pacing/0/nvgoi/1/keepalive/yes/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cspc%2Cvprv%2Cgo%2Crqh%2Citag%2Cplaylist_type/sig/AJfQdSswRAIgc7hZ_aDAuQlC96Yq4pPWWAZ0HaUTYfi6WhncHPuTg-UCIGD-kdMFf8j8fjYo8KZxtMe3u1OZ4pzsGffB0aNQwYld/file/index.m3u8
华视新闻,https://raw.githubusercontent.com/benmoose39/YouTube_to_m3u/main/assets/moose_na.m3u
民视新闻,https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1718539985/ei/cYJuZq7VBoWCkucPopqs4AU/ip/20.109.36.210/id/ylYJSBUgaMA.3/source/yt_live_broadcast/requiressl/yes/xpc/EgVo2aDSNQ%3D%3D/tx/51177566/txs/51177561%2C51177562%2C51177563%2C51177564%2C51177565%2C51177566%2C51177567/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/spc/UWF9f4nlz41q-wPbCjL3m4Fa4Pp4EQlgzXT2TOw4Ba5FFoRwmqNBEd9LFbNGDB4/vprv/1/go/1/rqh/5/pacing/0/nvgoi/1/keepalive/yes/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Ctx%2Ctxs%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cspc%2Cvprv%2Cgo%2Crqh%2Citag%2Cplaylist_type/sig/AJfQdSswRQIhAOso0MTLcGJkjKdfN0sgPzB-FJkf57tFxsl6GKhua-tZAiAUNBPPZ-GcbfEzNFR0u0ClF7pI5Yz9WFiwAdB4A4f3Lw%3D%3D/file/index.m3u8
公视新闻,https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1718539985/ei/cYJuZoz7JKqJkucPw76BqA8/ip/20.109.36.210/id/quwqlazU-c8.7/source/yt_live_broadcast/requiressl/yes/xpc/EgVo2aDSNQ%3D%3D/tx/51066118/txs/51066116%2C51066117%2C51066118%2C51066119%2C51066120%2C51066121/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/spc/UWF9f1fZ5j8YeuaqunDPNDLTQ8nOLXmtKSQHJcHaaYY1BLp9UKaU-z17Orsro8w/vprv/1/go/1/rqh/5/pacing/0/nvgoi/1/keepalive/yes/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Ctx%2Ctxs%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cspc%2Cvprv%2Cgo%2Crqh%2Citag%2Cplaylist_type/sig/AJfQdSswRgIhAP9KOmGuHghnb0ANfNyo-bRQ1nkzQhwA1CSg7AxoZOEyAiEAw39gaiZ9a-U8c4CEMCs4MXUgVcVEKavjoDnH6Ih5NeM%3D/file/index.m3u8
东森新闻,https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1718539986/ei/coJuZtOBB9WIkucP_Yy-yAQ/ip/20.109.36.210/id/E0zhe2gkXBs.3/source/yt_live_broadcast/requiressl/yes/xpc/EgVo2aDSNQ%3D%3D/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/gcr/us/spc/UWF9f_mO7pUaZwSTMfzg7YYOnLIIhp7_CGVmfVpQb4znmNIneGb-auUtSR6e2nY/vprv/1/go/1/rqh/5/pacing/0/nvgoi/1/keepalive/yes/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cgcr%2Cspc%2Cvprv%2Cgo%2Crqh%2Citag%2Cplaylist_type/sig/AJfQdSswRAIgCwkC6lB5_HHTe4rI_qdduadK8XUzLtkw7iL5o-scDdoCIGhQzjtSBUGbpfXYNUfvWi1wbkNXP-Y1Nt_o_kl27YUk/file/index.m3u8
中天新闻,https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1718539986/ei/coJuZoSOJZCFkucP37qq2AQ/ip/20.109.36.210/id/oIgbl7t0S_w.1/source/yt_live_broadcast/requiressl/yes/xpc/EgVo2aDSNQ%3D%3D/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/spc/UWF9f_hBYJe3kS9p56ArE2VU2IwQ42FIM26VzYXT63HH9e3uXeUhJBnxBlJfDBk/vprv/1/go/1/rqh/5/pacing/0/nvgoi/1/keepalive/yes/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cspc%2Cvprv%2Cgo%2Crqh%2Citag%2Cplaylist_type/sig/AJfQdSswRgIhAOljjnt4IspOjKYu5QAfyqhbT13JmBLmFo1x4oJ-e6QVAiEAjvtUkJMP9M3tt-JTjpuuHMZighSDm2soiquHTc88dTY%3D/file/index.m3u8
三立新闻,https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1718539987/ei/c4JuZoGoBrmEkucPn8WPgA8/ip/20.109.36.210/id/oZdzzvxTfUY.1/source/yt_live_broadcast/requiressl/yes/xpc/EgVo2aDSNQ%3D%3D/tx/51183014/txs/51183013%2C51183014/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/spc/UWF9fwdYgNZotr-sueKdmsiIG095KXwnNAjqGTPGOEJN7B-OLeWsvMtanqQZVJE/vprv/1/go/1/rqh/5/pacing/0/nvgoi/1/keepalive/yes/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Ctx%2Ctxs%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cspc%2Cvprv%2Cgo%2Crqh%2Citag%2Cplaylist_type/sig/AJfQdSswRAIgNsqWI_uA2A-4qGGqpvfjX12Fev1iUEatpmmW0f5oM8UCIFp8gB868ZUq02y13rz696RKAZRvDGV6-yZrgte95PKF/file/index.m3u8
TVBS新闻,https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1718539987/ei/c4JuZs7nKO2KkucPyLutwA8/ip/20.109.36.210/id/m_dhMSvUCIc.4/source/yt_live_broadcast/requiressl/yes/xpc/EgVo2aDSNQ%3D%3D/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/spc/UWF9f8B5qXsh2hflUagBVCnqi4Ic0VN-WNhfOz3pZ-FseBo_G7c1V4QvYKr_HsM/vprv/1/go/1/rqh/5/pacing/0/nvgoi/1/keepalive/yes/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cspc%2Cvprv%2Cgo%2Crqh%2Citag%2Cplaylist_type/sig/AJfQdSswRgIhAOoH4jcsYN5k5v4L_9HrXBGrpbvzvQY3LioBChQACZs5AiEAiCeCQFXfgIKonrOQD_hqGp0mFnxDa7WdKxMfRM7HaBY%3D/file/index.m3u8
寰宇新闻,https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1718539988/ei/dIJuZr3qB9mEkucPuOiXgA8/ip/20.109.36.210/id/6IquAgfvYmc.3/source/yt_live_broadcast/requiressl/yes/xpc/EgVo2aDSNQ%3D%3D/tx/51103729/txs/51103729%2C51103730%2C51113346/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/spc/UWF9f1PgvERzGL2FGLM_qODzofKEAo5dH4IBno9bUwoZpQhJ6Dx6NOH3BXgucsU/vprv/1/go/1/rqh/5/pacing/0/nvgoi/1/keepalive/yes/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Cxpc%2Ctx%2Ctxs%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cspc%2Cvprv%2Cgo%2Crqh%2Citag%2Cplaylist_type/sig/AJfQdSswRgIhALWE6otWvWqoUneTs1i58CtDTfp2KkguO9eXzBiS5aSvAiEAk8DlYcLHRi7izxmcFypyvek-B-6vl3XxzbZVXFJG6SQ%3D/file/index.m3u8
